rank, address, quantity, percentage
170, 0xdc1e1b6d1cfe5e936a95a815976ed2b34343e4c0, 3804.60651548, 0.0623
171, 0xd0040c9a392c0b24e0f1623366c91d3c5194255c, 3795.50249383, 0.0621
172, 0xdb7c567295b4517bb6997b22bd853e7dce9ed890, 3769.911, 0.0617
173, 0xb3a874c1f05ee84a5d5d2e09db83cc912f3bbdf4, 3760, 0.0615
174, 0x0adf10bf42a295f1a0a56c270ad2af565ab1fdb0, 3760, 0.0615
175, 0xad8bbfa78f96209d9e65b00f97d0ee520418874d, 3741.72651, 0.0612
176, 0x356f029fb2f673ca083ea223d5835f4ac00539dd, 3715.96767077000004044, 0.0608
177, 0xde91b5d96dd4c19f89a89fb21fc48c75f7226e15, 3700.803846599120583194, 0.0606
178, 0x8976c85b81eab49ac59ef6179d2829c6ded24457, 3698.687138481373125643, 0.0605
179, 0x7042d4a71556020b5769d5b5e7a47d1622500acf, 3685.08669172, 0.0603
180, 0x3250ddfe4959faa7e32c3e516334fac9f499d5e1, 3647.07120499881843, 0.0597
181, 0xdd9436c6f9423a34e7c1a00e32cd8094184bcf2c, 3640.76119595, 0.0596
182, 0x00f51bdbe568816ce1226cf8a7e0734dfc1bc23e, 3640, 0.0596
183, 0x96c256e78c9d9daaa5dd6c59cb6f7692ca76eaf1, 3637.178620108098502776, 0.0595
184, 0xb9d342bcdcb46e286774a6c01cc58a3f3f1661ee, 3620, 0.0592
185, 0x5ec74c04eed6f825caa4e30d4e28fd7641cf3454, 3620, 0.0592
186, 0x6a6610fed2c7b19ad3a8bfad1f859022ba30b07e, 3600, 0.0589
187, 0x6e8aa3b1f3bc9226f26ed1d84f6d17c84b152636, 3600, 0.0589
188, 0x1a10defa8f8e8d10418181db2babe737dae36798, 3598.177569216025301872, 0.0589
189, 0xda95d5d8c70f4c64af7009e0149df299bbe26311, 3584.919775616709572519, 0.0587
190, 0xdf59562dfb73412927f32fcd7e680ef46c3f239e, 3557.484701829860058102, 0.0582
191, Filecoin: FIL Token, 3502.818500737294390431, 0.0573
192, 0x5ac8e5280772c9d2fc451c42ed72d69fbd699840, 3499.5891415, 0.0573
193, 0xbf52dd7e0b91a0b30884c326b33c765e8882c180, 3440, 0.0563
194, 0xc317cbff68139c4b417782402796b6a4b287e83a, 3434.0940611, 0.0562
195, 0xe8df6150027980cf8301b295a1001d66e8ce1d64, 3399.10392697, 0.0556
196, 0x35c126cac6ce8ec3bb560246ff9fcf2437828e44, 3380, 0.0553
197, 0x6088c7773feffee11a20910088dd03b4916c7b7a, 3376.05935576103637786, 0.0553
198, 0x398deb5fc531ed0be5886b507d1a636947f5918d, 3353.06969, 0.0549
199, 0xc6e8e9f63fd72f3fdf4b138444228cd5fe9d2272, 3300, 0.0540
200, 0xd20d3f901fe7a6b7a791d7e38f851bdfb2d25afe, 3280, 0.0537
201, 0x11a1cc9cc07beebe5cc15ec2f7cba39d68c87a84, 3277.908, 0.0536
202, 0x4955f152698f3c63197d31dc9a23ade8f872f4bc, 3260, 0.0534
203, 0xdd1f16f4e67b5439711a5732b3d4e551524aa3d0, 3240, 0.0530
204, 0xea64c584e3907231054646be86f818f5a1547c27, 3240, 0.0530
205, 0x2e2413ca9cf5117a6ae84f69a10ebc99379b79f6, 3236.393909953395825829, 0.0530
206, 0xaa09326dbee08502568b989d0c6b6ec0edfa7995, 3220, 0.0527
207, 0xfb22d25c94d44f3a73b5edcbe8a8da406058feac, 3198.108056496912658698, 0.0523
208, 0x3bbfcc6e0d3734b2ed59607f042156c6c2a064d8, 3188.148738, 0.0522
209, 0x1dcd8be86e55e14ba9269413545e916865d2148c, 3183.741993445, 0.0521
210, 0xbf6ba670dbbb43d9e361446c65f7a19c25e433db, 3180, 0.0520
211, 0x18936d40fbaeb66c432818dbf22af0640da9d07f, 3180, 0.0520
212, 0x021800fc66f608c0ef9694290e4cb2153ff43ca9, 3175.588081452643619976, 0.0520
213, 0x9cd34f5fa1a1885bbe9f945020a1828ae38acf23, 3160, 0.0517
214, 0xceae7673553c90d0a3cd1a494da35ede63910cbf, 3141.77445, 0.0514
215, 0x884ce891e2b854f6fcb51dee9a11d13b2a14a174, 3133.12727973, 0.0513
216, 0x0c2d6630297db7682294f82292aa36f11130ceba, 3128.7628, 0.0512
217, 0xe859a7f41ae3f50c7df732d33bff21952867fb44, 3124.6607, 0.0511
218, 0x4fce4c7b4d44d2877451048cc70f4f6cc0f5b698, 3123.848, 0.0511
219, 0x68ea57d65de48f2f65614ca0f3463023a4cea31f, 3120, 0.0511
220, MaskEX 10, 3108.58605644, 0.0509
221, 0x38583518f8d33e8c64be811ffa6df64db67097db, 3100, 0.0507
222, 0xb38081e3d47ad8dcd7307f4184e656ebec1714f4, 3060.14144602, 0.0501
223, 0xc107fdef68e7bc78ee989f587d80c4f9419be57f, 3060, 0.0501
224, 0x2037996b269578ad26cb6da2023ca49498d46c8c, 3034.927, 0.0497
225, 0x8ae84044ee9c73e3a3e777a619b0741b97d1784d, 3030.45102613924026392, 0.0496
226, 0xbad61bcd82a72af581fc7733a5a6d467691463a7, 3015.1728489, 0.0493
227, 0xf0338dfed79b3a3a83ccc1869fa580fcf877499d, 3004.62703, 0.0492
228, 0x1532440e7e852721a07d3fe2ba1e93d2d97dac42, 3001.849815928552139974, 0.0491
229, 0x974d210a6a097010d10bba6b90a6e9efbc17e263, 3001.809847001072321121, 0.0491
230, 0x953b67d5dd48e17ebd2bbe6173372f87525ea355, 3001.745188684660323123, 0.0491
231, 0x0578a0ea3c17316a6209c50c6e0ae57034ea7f5f, 3001.194748858556832, 0.0491
232, 0x86d3bda505472cb855eac1ac751358794ef9a06d, 3000.974, 0.0491
233, 0xa0449cc854e9a47820c715d16a04b7c3318c7452, 3000.712181967170950687, 0.0491
234, 0xe4859d9f7f5b993df7b14dc586ce7558cfa7b687, 3000.32202, 0.0491
235, 0xfd1378e0aedee71bae0b32a75382407341e0cf17, 3000, 0.0491
236, 0xcc3c23a85e55ab7a3aa541e77a4a3dd9f1b29c57, 3000, 0.0491
237, 0x35564198a325c9cf67e088b4fe9a0443912984a8, 2998.82425, 0.0491
238, 0x0dd17d620388e2a24b57c20a3f26b7d8356ede5e, 2992.09520481, 0.0490
239, 0x6dea24330d1fe71fe6f5d11f432542086812742a, 2986.2516, 0.0489
240, 0xdaf068559604549698136079986a16a2b219197b, 2986.11058080947104571, 0.0489
241, 0x8bbf1e4c16b7d89721970c3742c5cc7f32fb6671, 2980.101820184569617457, 0.0488
242, 0xf7998ba4859ef8c351cf224f194c155eed391647, 2980, 0.0488
243, 0x8a13dd69ca91e48136498730e2db4a555bdae1bf, 2960, 0.0484
244, 0xd893f8878e01f6963002e674b2490253908a822a, 2940, 0.0481
245, 0xaf9e8eb2f73c8c007e2769747f37debcd0e56ca8, 2920.460454706175570031, 0.0478
246, 0x5b6ac085d82017e6d0b42e8d06eea646a79a9276, 2919.625554, 0.0478
247, 0xc88c472e2160678fcd22960ba33800ba76affd31, 2915.276023098038312204, 0.0477
248, 0xb1c19e9409782d96366029bd8e93190c7eb2d11a, 2900, 0.0475
249, 0x6a5f036577788b33405134146751e0621700848f, 2898.080474158870320004, 0.0474
250, 0x77a933d6abe4d5003f0918f8133019d03d60d863, 2896.39829703831866802, 0.0474
251, 0x39dd07ac211c33e796e6d89c4df9481e0b60ecfe, 2893.444431320252199801, 0.0474
252, 0x9e5cb852dda9ea1ba9420c2f149e060d08ff0c18, 2860, 0.0468
253, 0xf53d11aeab7c4a572bcf46febe927106a50744b7, 2853.43185, 0.0467
254, 0xeada8eb84e4af0ee6f7db14bcc5568d0924f54aa, 2822.991, 0.0462
255, 0x7a8999bd5c4ff275da8e6cb0c1cdb3ccb11164e2, 2800, 0.0458
256, 0x1896614c9a492ed3739ed95e251a1a6432858d16, 2800, 0.0458
257, 0x26431be6c411116942857df6a85268e7a123ea88, 2780, 0.0455
258, 0x150f4881248960c07bd0ba186af93d975f824376, 2757.9492, 0.0451
259, 0x9a6c4d78e8170bf7ff56b9b3305183d337f4fe33, 2744.127998743529555471, 0.0449
260, 0x467067c2fe1d2f55a456d6816b2d9272ec34c003, 2728.023861540391021008, 0.0446
261, 0x48e39b48e284cbf6161077026fe123d4b27fd801, 2699.916, 0.0442
262, 0xc6316adc1540567e1f3af0ce22ccf0f5aa729319, 2694.981, 0.0441
263, 0x23d1620c8eb7356fbb4dd316c91c275d15ff846b, 2692.51404516, 0.0441
264, 0x08ed0c0245e37d736504ee5eea005657552b1ec4, 2682.266951630456253586, 0.0439
265, 0xd07fab8af651007188ea6d519f6b06de86776d44, 2680.39412, 0.0439
266, 0x1da6ca50c82d8dda9a81c546bf4c5e2121de7216, 2680, 0.0439
267, 0x4d69d90a9146592938e3aef7a27c1f2e9bceac5f, 2673.58472, 0.0438
268, 0xf00aafc6240bdca3f72994dab07a8729183e04b8, 2660, 0.0435
269, 0x42fd191ffe543d578e368d17a7a3be925c649a4e, 2646.691020311891831507, 0.0433
270, 0xe989ef3118c685603b86123569340438ab670505, 2628.708106, 0.0430
271, 0xd181f7a4d60901d954ffa4b1d983d3dce9aeb331, 2620, 0.0429
272, 0x0aa9fbffae68742dc1afce0a0ce0c11234051c07, 2612.525318164071570934, 0.0428
273, 0x3c2f01b7677f43c8c6e8cae199827c61a000fbcf, 2609.516124027100278949, 0.0427
274, 0xe575a748f081901c78c68bda4bd150a63ba94897, 2601.088, 0.0426
275, 0x4aa33e8e4a3c9f2b72cb1e8c6933f0fd2a5db9fe, 2600.356109234822450476, 0.0426
276, 0xbdd2f8c1d28166ef2c59d3eacee0ca4f80de0382, 2593.98089578, 0.0425
277, 0x7c9a1310bfcc0fb7a1298df582efbe243b04acad, 2592.234320849360896713, 0.0424
278, 0x0ff25ac02d2908a0da6f84187b5385e4a2eea89a, 2590.6389, 0.0424
279, 0xe08758b0015f5ba96882314983c85fe428497c3f, 2568.331707266926776176, 0.0420
